X,Z
3.038839,-6.091706
2.855083,-6.012753
2.671327,-5.933799
2.487571,-5.854845
2.303815,-5.775891
2.120059,-5.696938
1.936303,-5.617984
1.752547,-5.53903
1.56879,-5.460076
1.385034,-5.381123
1.201278,-5.302169
1.017522,-5.223215
0.833766,-5.144261
0.65001,-5.065308
0.4662539,-4.986354
0.2824979,-4.9074
0.09874181,-4.828446
-0.08501425,-4.749493
-0.2687703,-4.670539
-0.4525264,-4.591585
-0.6362824,-4.512631
-0.8200385,-4.433678
-1.003795,-4.354724
-1.187551,-4.27577
-1.371307,-4.196816
-1.555063,-4.117863
-1.738819,-4.038909
-1.922575,-3.959955
-2.106331,-3.881001
-2.290087,-3.802048
-2.473843,-3.723094
-2.657599,-3.64414
-2.841356,-3.565187
-3.025112,-3.486233
-3.208868,-3.407279
-3.392624,-3.328325
-3.57638,-3.249372
-3.760136,-3.170418
-3.943892,-3.091464
-4.127648,-3.01251
-4.311404,-2.933557
-4.49516,-2.854603
-4.678916,-2.775649
-4.862672,-2.696695
-5.046428,-2.617742
-5.230184,-2.538788
-5.413939,-2.459834
-5.597695,-2.38088
-5.781451,-2.301927
-5.965207,-2.222973
-6.148963,-2.144019
-6.332719,-2.065065
-6.516475,-1.986112
-6.700231,-1.907158
-6.883986,-1.828204
-7.067742,-1.74925
-7.251498,-1.670296
-7.435254,-1.591342
-7.61901,-1.512388
-7.802766,-1.433434
-7.986522,-1.354481
-8.170278,-1.275527
-8.354033,-1.196573
-8.537789,-1.117619
-8.721545,-1.038665
-8.905301,-0.9597113
-9.089057,-0.8807575
-9.272813,-0.8018036
-9.456569,-0.7228497
-9.640325,-0.6438959
-9.82408,-0.564942
-10.01098,-0.6361389
-10.19788,-0.7073358
-10.38478,-0.7785327
-10.57167,-0.8497297
-10.75857,-0.9209266
-10.94547,-0.9921235
-11.13237,-1.06332
-11.31927,-1.134517
-11.50616,-1.205714
-11.69306,-1.276911
-11.87996,-1.348108
-12.06686,-1.419305
-12.25376,-1.490502
-12.44066,-1.561699
-12.62755,-1.632896
-12.81445,-1.704093
-13.00135,-1.77529
-13.18825,-1.846486
-13.37515,-1.917683
-13.56205,-1.98888
-13.74894,-2.060077
-13.93584,-2.131274
-14.12274,-2.202471
-14.30964,-2.273668
-14.49654,-2.344865
-14.68343,-2.416062
-14.87033,-2.487259
-15.05723,-2.558456
-15.24413,-2.629653
-15.06726,-2.536285
-14.89039,-2.442916
-14.71353,-2.349547
-14.53666,-2.256178
-14.35979,-2.16281
-14.18292,-2.069441
-14.00606,-1.976072
-13.82919,-1.882703
-13.65232,-1.789334
-13.47545,-1.695965
-13.29859,-1.602596
-13.12172,-1.509228
-12.94485,-1.415859
-12.76798,-1.32249
-12.59112,-1.229121
-12.41425,-1.135752
-12.23738,-1.042383
-12.06051,-0.9490142
-11.88365,-0.8556454
-11.70678,-0.7622766
-11.52991,-0.6689078
-11.35304,-0.5755389
-11.17618,-0.4821701
-10.99931,-0.3888012
-10.82244,-0.2954324
-10.64557,-0.2020635
-10.46871,-0.1086947
-10.29184,-0.0153258
-10.11497,0.07804305
-9.938105,0.1714119
-9.761237,0.2647808
-9.58437,0.3581496
-9.407502,0.4515185
-9.230635,0.5448873
-9.053767,0.6382561
-8.8769,0.731625
-8.700032,0.8249938
-8.523165,0.9183626
-8.346297,1.011732
-8.16943,1.1051
-7.992562,1.198469
-7.815694,1.291838
-7.638826,1.385207
-7.461958,1.478576
-7.28509,1.571945
-7.108222,1.665314
-6.931354,1.758683
-6.754486,1.852051
-6.577618,1.94542
-6.40075,2.038789
-6.223882,2.132158
-6.047014,2.225527
-5.870146,2.318896
-5.693278,2.412264
-5.51641,2.505633
-5.339542,2.599002
-5.162674,2.692371
-4.985806,2.785739
-4.808939,2.879108
-4.632071,2.972477
-4.455203,3.065846
-4.278335,3.159214
-4.101467,3.252583
-3.924599,3.345952
-3.747731,3.439321
-3.570863,3.53269
-3.393995,3.626058
-3.217127,3.719427
-3.040259,3.812796
-2.863391,3.906165
-2.686523,3.999533
-2.509655,4.092902
-2.332787,4.186271
-2.241515,4.36423
-2.150242,4.542189
-2.05897,4.720148
-1.967698,4.898107
-1.876426,5.076066
-1.785153,5.254025
-1.693881,5.431984
-1.602609,5.609943
-1.511337,5.787902
-1.420064,5.965861
-1.328792,6.14382
-1.23752,6.321779
-1.146248,6.499738
-1.054975,6.677697
-0.9637032,6.855656
-0.8724309,7.033615
-0.7811587,7.211574
-0.6898865,7.389533
-0.5986142,7.567492
-0.507342,7.74545
-0.4160697,7.923409
-0.3247975,8.101368
-0.2335252,8.279326
-0.1422529,8.457285
-0.05098066,8.635243
0.04029161,8.813202
0.1315639,8.99116
0.2228361,9.169119
0.3141084,9.347077
0.4053807,9.525036
0.4966529,9.702994
0.5879252,9.880953
0.6791974,10.05891
0.7704697,10.23687
0.8617419,10.41483
0.9530141,10.59279
1.044286,10.77075
1.135559,10.9487
1.226831,11.12666
1.318103,11.30462
1.409375,11.48258
1.500648,11.66054
1.59192,11.8385
1.683192,12.01645
1.774464,12.19441
1.865736,12.37237
1.957009,12.55033
2.048281,12.72829
2.139553,12.90625
2.230826,13.08421
2.322098,13.26216
2.41337,13.44012
2.504643,13.61808
2.595915,13.79604
2.687187,13.974
2.77846,14.15196
2.869732,14.32992
2.961004,14.50787
3.052277,14.68583
3.143549,14.86379
3.234822,15.04175
3.326094,15.21971
3.417366,15.39767
3.508639,15.57562
3.599911,15.75358
3.691183,15.93154
3.782456,16.1095
3.873728,16.28746
3.965,16.46542
4.056273,16.64338
4.147545,16.82134
4.238817,16.9993
4.33009,17.17726
4.421362,17.35522
4.512634,17.53318
4.603907,17.71114
4.695179,17.8891
4.786451,18.06705
4.877724,18.24501
4.968996,18.42297
5.060268,18.60093
5.151541,18.77889
5.242813,18.95685
5.334085,19.13481
5.425358,19.31277
5.51663,19.49073
5.607903,19.66869
5.699175,19.84665
5.790447,20.02461
5.88172,20.20257
5.972992,20.38053
6.064264,20.55849
6.155537,20.73645
6.246809,20.91441
6.338081,21.09237
6.429354,21.27032
6.520626,21.44828
6.611898,21.62624
6.703171,21.8042
6.794443,21.98216
6.885715,22.16012
6.976988,22.33808
7.06826,22.51604
7.159533,22.694
7.250805,22.87196
7.342077,23.04992
7.43335,23.22788
7.524622,23.40584
7.615894,23.5838
7.707167,23.76176
7.798439,23.93972
7.889711,24.11768
7.980984,24.29564
8.072256,24.47359
8.163528,24.65155
8.254801,24.82951
8.346073,25.00747
8.437346,25.18543
8.528618,25.36339
8.61989,25.54135
8.711163,25.71931
8.802435,25.89727
8.893707,26.07523
8.98498,26.25319
9.076252,26.43115
9.167524,26.60911
9.258797,26.78707
9.350069,26.96503
9.441341,27.14299
9.532614,27.32095
9.623886,27.49891
9.715158,27.67686
9.806431,27.85482
9.897703,28.03278
9.988976,28.21074
10.08025,28.3887
10.17152,28.56666
10.26279,28.74462
10.35406,28.92258
10.44534,29.10054
10.53661,29.2785
10.62788,29.45646
10.71915,29.63442
10.81043,29.81238
10.9017,29.99034
10.99297,30.1683
11.08424,30.34626
11.17552,30.52422
11.26679,30.70218
11.35806,30.88013
11.44933,31.05809
11.54061,31.23605
11.63188,31.41401
11.72315,31.59197
11.81442,31.76993
11.90569,31.94789
11.99697,32.12585
12.08824,32.30381
12.17951,32.48177
12.27078,32.65973
12.36206,32.83769
12.45333,33.01565
12.5446,33.19361
12.63587,33.37157
12.72715,33.54953
12.81842,33.72749
12.90969,33.90545
13.00096,34.0834
13.09224,34.26136
13.18351,34.43932
13.27478,34.61728
13.36605,34.79524
13.45732,34.9732
13.5486,35.15116
13.63987,35.32912
13.73114,35.50708
13.88798,35.63119
14.04482,35.75529
14.20165,35.8794
14.35849,36.00351
14.51532,36.12762
14.67216,36.25172
14.829,36.37583
14.98583,36.49994
15.14267,36.62405
15.29951,36.74815
15.45634,36.87226
15.61318,36.99637
15.77002,37.12048
15.92685,37.24458
16.08369,37.36869
16.24053,37.4928
16.39737,37.61691
16.5542,37.74101
16.71104,37.86512
16.86788,37.98923
17.02472,38.11333
17.18155,38.23744
17.33839,38.36155
17.49523,38.48566
17.65207,38.60976
17.8089,38.73387
17.96574,38.85798
18.12258,38.98209
18.27942,39.10619
18.43625,39.2303
18.59309,39.35441
18.74993,39.47852
18.90676,39.60262
19.0636,39.72673
19.22044,39.85084
19.37728,39.97495
19.53411,40.09905
19.69095,40.22316
19.84779,40.34727
20.00463,40.47137
20.16146,40.59548
20.3183,40.71959
20.47514,40.8437
20.63198,40.9678
20.46129,41.07204
20.2906,41.17628
20.11991,41.28051
19.94921,41.38475
19.77852,41.48899
19.60783,41.59322
19.43714,41.69746
19.26645,41.8017
19.09576,41.90593
18.92507,42.01017
18.75438,42.11441
18.58369,42.21864
18.413,42.32288
18.24231,42.42712
18.07162,42.53135
17.90093,42.63559
17.73024,42.73983
17.55955,42.84406
17.38886,42.9483
17.21817,43.05254
17.04748,43.15677
16.87679,43.26101
16.70609,43.36525
16.5354,43.46948
16.36471,43.57372
16.19402,43.67796
16.02333,43.78219
15.85264,43.88643
15.68195,43.99067
15.51126,44.0949
15.34057,44.19914
15.16988,44.30338
14.9992,44.40761
14.82851,44.51185
14.65782,44.61609
14.48713,44.72032
14.31644,44.82456
14.51566,44.84217
14.71488,44.85978
14.91411,44.87738
15.11333,44.89499
15.31255,44.9126
15.51178,44.93021
15.711,44.94782
15.91022,44.96543
16.10945,44.98304
16.30867,45.00064
16.50789,45.01825
16.70712,45.03586
16.90634,45.05347
17.05183,45.1907
17.19732,45.32793
17.34281,45.46516
17.4883,45.60239
17.63379,45.73962
17.77928,45.87685
17.92477,46.01408
18.07026,46.15131
17.9493,45.99204
17.82833,45.83277
17.70737,45.6735
17.58641,45.51423
17.46544,45.35495
17.34448,45.19568
17.22351,45.03641
17.03841,44.96068
16.8533,44.88495
16.66819,44.80922
16.48308,44.73349
16.29797,44.65776
16.11287,44.58204
15.92776,44.50631
15.74265,44.43058
15.55754,44.35485
15.37243,44.27912
15.18732,44.20339
15.00222,44.12766
14.81711,44.05193
14.632,43.9762
14.44689,43.90047
14.26178,43.82474
14.07668,43.74901
13.89157,43.67328
13.70646,43.59755
13.52135,43.52182
13.33624,43.44609
13.51158,43.5423
13.68693,43.6385
13.86227,43.7347
14.03761,43.83091
14.21295,43.92711
14.38829,44.02331
14.56363,44.11951
14.73898,44.21572
14.91432,44.31192
15.08966,44.40812
15.265,44.50433
15.44034,44.60053
15.61568,44.69673
15.79103,44.79293
15.96637,44.88914
16.14171,44.98534
16.31705,45.08154
16.49239,45.17775
16.66774,45.27395
16.84308,45.37015
17.01842,45.46635
17.19376,45.56256
17.36911,45.65876
17.54445,45.75496
17.71979,45.85117
17.89513,45.94737
18.07048,46.04357
18.24582,46.13977
18.42116,46.23598
18.5965,46.33218
18.77185,46.42838
18.94719,46.52459
19.12253,46.62079
19.29787,46.71699
19.47322,46.81319
19.64856,46.9094
19.8239,47.0056
19.99924,47.1018
20.17459,47.19801
20.34993,47.29421
20.52527,47.39041
20.70061,47.48661
20.87596,47.58282
21.0513,47.67902
21.22664,47.77522
21.40199,47.87143
21.57733,47.96763
21.75267,48.06383
21.92801,48.16003
22.10336,48.25624
22.2787,48.35244
22.45404,48.44864
22.62938,48.54485
22.80473,48.64105
22.98007,48.73725
23.15541,48.83345
23.33075,48.92966
23.5061,49.02586
23.68144,49.12206
23.85678,49.21827
24.03212,49.31447
24.20747,49.41067
24.38281,49.50687
24.55815,49.60308
24.73349,49.69928
24.90884,49.79548
25.08418,49.89169
25.25952,49.98789
25.43486,50.08409
25.61021,50.18029
25.78555,50.2765
25.96089,50.3727
26.13623,50.4689
26.31158,50.56511
26.48692,50.66131
26.66226,50.75751
26.8376,50.85371
27.01295,50.94992
27.18829,51.04612
27.36363,51.14232
27.53897,51.23853
27.71432,51.33473
27.88966,51.43093
28.065,51.52713
28.24035,51.62334
28.41569,51.71954
28.59103,51.81574
28.76637,51.91195
28.94172,52.00815
29.11706,52.10435
29.2924,52.20055
29.46774,52.29676
29.64309,52.39296
29.81843,52.48916
29.99377,52.58537
30.16911,52.68157
30.34446,52.77777
30.5198,52.87397
30.69514,52.97018
30.87048,53.06638
31.04583,53.16258
31.22117,53.25879
31.39651,53.35499
31.57185,53.45119
31.7472,53.54739
31.92254,53.6436
32.09788,53.7398
32.27322,53.836
32.44857,53.93221
32.62391,54.02841
32.79925,54.12461
32.97459,54.22081
33.14994,54.31702
33.32528,54.41322
33.50062,54.50942
33.67596,54.60563
33.85131,54.70183
34.02665,54.79803
34.20199,54.89423
34.37733,54.99044
34.55268,55.08664
34.72802,55.18284
34.90336,55.27905
35.0787,55.37525
35.25405,55.47145
35.42939,55.56765
35.60473,55.66386
35.78008,55.76006
35.95542,55.85626
36.13076,55.95247
36.3061,56.04867
36.48145,56.14487
36.65679,56.24107
36.83213,56.33728
37.00747,56.43348
37.18282,56.52968
37.35816,56.62589
37.5335,56.72209
37.70884,56.81829
37.88419,56.91449
38.05953,57.0107
38.23487,57.1069
38.41021,57.2031
38.58556,57.2993
38.7609,57.39551
38.93624,57.49171
39.11158,57.58791
39.28693,57.68412
39.46227,57.78032
39.63761,57.87652
39.81295,57.97272
39.9883,58.06893
40.16364,58.16513
