X,Z
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.080396,-4.444084
4.078773,-4.644078
4.07715,-4.844071
4.075528,-5.044065
4.073905,-5.244059
4.072282,-5.444052
4.07066,-5.644046
4.069037,-5.844039
4.067414,-6.044033
4.065792,-6.244027
4.064169,-6.44402
4.062546,-6.644014
4.060924,-6.844007
4.059301,-7.044001
4.057678,-7.243995
4.056056,-7.443988
4.054433,-7.643982
4.05281,-7.843976
4.051188,-8.043969
4.049565,-8.243962
4.047942,-8.443955
4.046319,-8.643949
4.044697,-8.843942
4.043074,-9.043935
4.041451,-9.243928
4.039829,-9.443921
4.038206,-9.643914
4.238205,-9.644473
4.438205,-9.645032
4.638204,-9.645591
4.838203,-9.64615
5.038203,-9.646708
5.238202,-9.647267
5.438201,-9.647826
5.638201,-9.648385
5.8382,-9.648944
6.038199,-9.649503
6.238199,-9.650062
6.438198,-9.65062
6.690672,-9.604638
6.943147,-9.558656
7.195621,-9.512673
7.448095,-9.466691
7.70057,-9.420709
7.953044,-9.374726
8.205519,-9.328744
8.457994,-9.282762
8.710468,-9.236779
8.962943,-9.190797
9.215418,-9.144814
9.467893,-9.098832
9.720367,-9.05285
9.920366,-9.053409
10.12037,-9.053967
10.32036,-9.054526
10.52036,-9.055085
10.72036,-9.055644
