output(s),start time(s),theta,velX,velZ
0.76,0,0.6873964762431425,-0.38328429707546535,-0.9236304172207445
0.27,0.76,0.9591046545768306,0.967168806772025,-0.25413480518649434
1.11,1.03,0.7665901986634152,0.10405062061121931,-0.9945720025973083
0.49,2.14,0.7971239041575028,0.291780891117882,-0.9564851862828063
0.68,2.63,0.5944275544200811,-0.8290969112005742,-0.5591049202409751
0.08,3.31,0.012209516010893817,0.9970588739499151,0.07663942769702407
0.23,3.39,0.45520920980974344,-0.9606595908413494,0.277728555471941
0.31,3.62,0.8395615245934774,0.5334986222149989,-0.8458009340824222
1.28,3.93,0.9473327362499225,0.9457444156863302,-0.32491152672400203
1.27,5.21,0.05447990144320325,0.9419826965383303,0.33566143570922147
1.2,6.48,0.6432624862400025,-0.621496576275173,-0.7834168786018323
0.08,7.680000000000001,0.010230176428374982,0.9979348744836842,0.06423384068568055
1.62,7.760000000000001,0.2414953555620276,0.05341082999240195,0.9985726229170929
0.57,9.38,0.9193058256392259,0.8741971219653537,-0.4855712017279161
0.1,9.950000000000001,0.10980325999515139,0.771300608029458,0.6364710300189541
0.79,10.05,0.03269171613111688,0.9789778251008989,0.20396670797145708
0.04,10.84,0.5335469758736329,-0.9778676281094362,-0.2092245250816106
0.53,10.879999999999999,0.9426568504041168,0.9357919330811967,-0.35255277332643
5.14,11.409999999999998,0.9334829740266564,0.9139274758029784,-0.4058775295238655
0.41,16.549999999999997,0.8407224696442994,0.5396540123156313,-0.8418868967929365
2.55,16.959999999999997,0.6010590295442387,-0.8050879435466738,-0.5931554628896103
2.49,19.509999999999998,0.1208763508006866,0.7251882914188201,0.6885506096061874
1.36,22,0.36623541687417727,-0.6671145105923524,0.7449551864086364
0.44,23.36,0.253262087819494,-0.020494867210998628,0.9997899581502124
0,23.8,0.3578821248762155,-0.6271146356839375,0.7789269758526806
0.16,23.8,0.2648658561695304,-0.09326917004662881,0.99564093021471
0.59,23.96,0.23760920424843412,0.07777504195599655,0.9969709338033597
3.03,24.55,0.2624339809082894,-0.07804555752391565,0.9969497935958366
0.54,27.580000000000002,0.36128575028111765,-0.6436277956565508,0.7653386574963329
1.879999999999999,28.12,0.10909140557821595,0.774139635939197,0.6330148687573836
1,30,0,0,0
